VolcanoPlot	Counts	Log2					
#Analysis Name	M-1002 Loma Linda analysis						
#Dataset Name	FCortex GCvsFLT SAL						
Statistical test summary							
Group by	Segment						
#Filtered Dataset	false						
Target tag	Target group membership/s	Target name	Log2	Pvalue	Adjusted pvalue	-log10 pvalue	-log10 adjusted pvalue
	"Probe_QC_5percfilter, All Targets"	Dnajc2	-0.116862698	0.470350748	0.45	0.327578161	0.346787486
	"Probe_QC_5percfilter, All Targets"	Arrdc5	-0.000128415	0.877209435	0.82	0.056896706	0.086186148
	"Probe_QC_5percfilter, All Targets"	Mars2	-0.178921632	0.026545276	0	1.576012756	
	"Probe_QC_5percfilter, All Targets"	Yy2	-5.51394E-05	0.834583744	0.67	0.078530079	0.173925197
	"Probe_QC_5percfilter, All Targets"	Rab11fip5	0.256832412	0.026696418	0	1.573547013	
	"Probe_QC_5percfilter, All Targets"	Pa2g4	-0.124628424	0.56797631	0.38	0.245669778	0.420216403
	"Probe_QC_5percfilter, All Targets"	Cnga3	-0.045749863	0.632408876	0.62	0.199002043	0.207608311
	"Probe_QC_5percfilter, All Targets"	Rhot2	0.055563316	0.755193271	0.58	0.121941889	0.236572006
	"Probe_QC_5percfilter, All Targets"	Tmem9b	0.398950526	0.261680978	0.21	0.582227846	0.677780705
	"Probe_QC_5percfilter, All Targets"	Purg	-0.181310735	0.474793668	0.34	0.323495082	0.468521083
	"Probe_QC_5percfilter, All Targets"	2310061I04Rik	-0.469506683	0.011988147	0	1.921247938	
	"Probe_QC_5percfilter, All Targets"	Dlg1	-0.124564903	0.293777358	0.18	0.531981679	0.744727495
	"Probe_QC_5percfilter, All Targets"	Nemp1	0.108824122	0.514111954	0.52	0.288942298	0.283996656
	"Probe_QC_5percfilter, All Targets"	Sfxn1	0.412336235	0.017761936	0	1.750509688	
	"Probe_QC_5percfilter, All Targets"	Ttyh3	0.388800569	0.068470146	0	1.164498749	
	"Probe_QC_5percfilter, All Targets"	Gna12	-0.160854233	0.480946439	0.42	0.317903287	0.37675071
	"Probe_QC_5percfilter, All Targets"	Mlxipl	0.275153005	0.132858758	0.13	0.876609811	0.886056648
	"Probe_QC_5percfilter, All Targets"	Anxa7	0.088254586	0.624550641	0.72	0.204432342	0.142667504
	"Probe_QC_5percfilter, All Targets"	Vrk1	-0.004362215	0.896496215	0.93	0.04745154	0.031517051
	"Probe_QC_5percfilter, All Targets"	Zbtb10	0.130347093	0.635510423	0.59	0.196877322	0.229147988
	"Probe_QC_5percfilter, All Targets"	Wdfy4	0.142697756	0.515349527	0.5	0.287898118	0.301029996
	"Probe_QC_5percfilter, All Targets"	Lag3	0.347955998	0.069516542	0	1.157911838	
	"Probe_QC_5percfilter, All Targets"	Ptcd1	0.473290921	0.200591274	0.23	0.697687963	0.638272164
	"Probe_QC_5percfilter, All Targets"	Sp1	-0.01775422	0.967043875	0.88	0.014553822	0.055517328
	"Probe_QC_5percfilter, All Targets"	Il36rn	0.105112136	0.529883629	0.55	0.275819498	0.259637311
	"Probe_QC_5percfilter, All Targets"	Mrgprh	-0.297216037	0.013418122	0	1.87230828	
	"Probe_QC_5percfilter, All Targets"	Kcnq4	-0.183202002	0.645642497	0.49	0.190007891	0.30980392
	"Probe_QC_5percfilter, All Targets"	Xylt2	0.058580339	0.846278824	0.88	0.072486526	0.055517328
	"Probe_QC_5percfilter, All Targets"	Olfr1014	-0.153019103	0.399425857	0.32	0.398563825	0.494850022
	"Probe_QC_5percfilter, All Targets"	Satb1	0.317342704	0.083358838	0	1.079048348	
	"Probe_QC_5percfilter, All Targets"	Slc3a1	-0.18775114	0.404494359	0.15	0.393087531	0.823908741
	"Probe_QC_5percfilter, All Targets"	Trpt1	-0.465188963	0.097205068	0.06	1.01231109	1.22184875
	"Probe_QC_5percfilter, All Targets"	Dpysl2	0.135835044	0.439753396	0.4	0.356790798	0.397940009
	"Probe_QC_5percfilter, All Targets"	Zkscan7	-0.09237024	0.537320931	0.49	0.269766241	0.30980392
	"Probe_QC_5percfilter, All Targets"	Plscr3	-0.054747115	0.735695671	0.38	0.133301799	0.420216403
	"Probe_QC_5percfilter, All Targets"	Polr3c	0.332791008	0.495373709	0.39	0.305067046	0.408935393
	"Probe_QC_5percfilter, All Targets"	Pex11g	0.082059501	0.438512641	0.58	0.358017883	0.236572006
	"Probe_QC_5percfilter, All Targets"	Dhx9	-0.102862205	0.589294773	0.66	0.229667411	0.180456064
	"Probe_QC_5percfilter, All Targets"	Mmgt1	-0.070522352	0.703645235	0.76	0.152646249	0.119186408
	"Probe_QC_5percfilter, All Targets"	Grhl2	-0.216755662	0.310641477	0.29	0.507740557	0.537602002
	"Probe_QC_5percfilter, All Targets"	Fhod3	-0.040231873	0.928208015	0.52	0.032354686	0.283996656
	"Probe_QC_5percfilter, All Targets"	Olfr1043	0.197644369	0.05362051	0	1.270669058	
	"Probe_QC_5percfilter, All Targets"	Pus1	0.186100146	0.361016089	0.4	0.442473443	0.397940009
	"Probe_QC_5percfilter, All Targets"	Msrb3	0.029176743	0.897925779	0.7	0.04675956	0.15490196
	"Probe_QC_5percfilter, All Targets"	Erlec1	0.250085334	0.354794123	0.23	0.450023582	0.638272164
	"Probe_QC_5percfilter, All Targets"	Utp18	0.180579391	0.651140808	0.47	0.186325086	0.327902142
	"Probe_QC_5percfilter, All Targets"	Olfr957	0.181712806	0.479811037	0.27	0.318929766	0.568636236
	"Probe_QC_5percfilter, All Targets"	Krt2	0.218112672	0.101015607	0	0.995611523	
	"Probe_QC_5percfilter, All Targets"	Pcdhb19	0.04818861	0.672725605	0.57	0.172162042	0.244125144
	"Probe_QC_5percfilter, All Targets"	Prss36	-0.022940593	0.876101956	0.86	0.05744535	0.065501549
	"Probe_QC_5percfilter, All Targets"	Mtg2	-0.053725717	0.798967669	0.87	0.097470795	0.060480747
	"Probe_QC_5percfilter, All Targets"	Septin11	-0.252422311	0.344218701	0.38	0.463165539	0.420216403
	"Probe_QC_5percfilter, All Targets"	Acacb	-0.136464743	0.77240922	0.64	0.112152551	0.193820026
	"Probe_QC_5percfilter, All Targets"	Gm5464	0.437610481	0.029375558	0	1.532013876	
	"Probe_QC_5percfilter, All Targets"	Rsad2	0.538357996	0.167935479	0.07	0.774857543	1.15490196
	"Probe_QC_5percfilter, All Targets"	Mas1	-0.618001068	0.060986499	0	1.214766299	
	"Probe_QC_5percfilter, All Targets"	Marchf10	0.469368931	0.129354275	0	0.888219214	
	"Probe_QC_5percfilter, All Targets"	Plxna2	0.236199579	0.280341452	0.19	0.552312682	0.721246399
	"Probe_QC_5percfilter, All Targets"	Tmem129	-0.045289867	0.850395785	0.87	0.070378901	0.060480747
	"Probe_QC_5percfilter, All Targets"	Zbtb18	0.258351586	0.423911659	0.42	0.372724639	0.37675071
	"Probe_QC_5percfilter, All Targets"	Nptxr	-0.220648343	0.517316048	0.61	0.286244049	0.214670165
	"Probe_QC_5percfilter, All Targets"	St3gal1	0.036320064	0.783096441	0.85	0.10618475	0.070581074
	"Probe_QC_5percfilter, All Targets"	Purb	-0.044939094	0.893435505	0.88	0.048936793	0.055517328
	"Probe_QC_5percfilter, All Targets"	Pbld2	0.228460086	0.275278066	0.28	0.560228392	0.552841969
	"Probe_QC_5percfilter, All Targets"	Acta1	-0.076929535	0.794205348	0.65	0.100067193	0.187086643
	"Probe_QC_5percfilter, All Targets"	Manf	-0.248101682	0.379711508	0.43	0.420546241	0.366531544
	"Probe_QC_5percfilter, All Targets"	Rnpc3	-0.032817515	0.887771002	0.78	0.051699045	0.107905397
	"Probe_QC_5percfilter, All Targets"	Mtr	0.29513763	0.251787685	0.08	0.598965515	1.096910013
	"Probe_QC_5percfilter, All Targets"	Pigw	-0.053761507	0.81838712	0.71	0.087041214	0.148741651
	"Probe_QC_5percfilter, All Targets"	Fbxl22	-0.065837072	0.754148732	0.9	0.122542995	0.045757491
	"Probe_QC_5percfilter, All Targets"	Nxpe2	0.306195434	0.80628497	0.68	0.093511436	0.167491087
	"Probe_QC_5percfilter, All Targets"	Ankrd10	-0.236885302	0.107750607	0	0.967580273	
	"Probe_QC_5percfilter, All Targets"	Pex11b	-0.254585347	0.020251323	0	1.693546602	
	"Probe_QC_5percfilter, All Targets"	Fdx1	-0.003961996	0.962915759	0.84	0.016411705	0.075720714
	"Probe_QC_5percfilter, All Targets"	Zbtb8os	-0.003890439	0.97459506	0.9	0.011175794	0.045757491
	"Probe_QC_5percfilter, All Targets"	Ctxn2	0.045015431	0.969211334	0.93	0.013581516	0.031517051
	"Probe_QC_5percfilter, All Targets"	Map1s	-0.007190647	0.904832382	0.93	0.043431865	0.031517051
	"Probe_QC_5percfilter, All Targets"	Zfp846	0.074075668	0.947454886	0.93	0.02344146	0.031517051
	"Probe_QC_5percfilter, All Targets"	Fbxo6	0.040472931	0.767304369	0.64	0.115032329	0.193820026
	"Probe_QC_5percfilter, All Targets"	Slc5a1	0.135386087	0.753245364	0.82	0.123063533	0.086186148
	"Probe_QC_5percfilter, All Targets"	Tpcn2	-0.24381398	0.495703919	0.65	0.304777647	0.187086643
	"Probe_QC_5percfilter, All Targets"	Srpx	0.106182588	0.638683946	0.84	0.194714	0.075720714
	"Probe_QC_5percfilter, All Targets"	Pigc	-0.082812157	0.643469297	0.55	0.19147217	0.259637311
	"Probe_QC_5percfilter, All Targets"	Zfy1	-0.229358494	0.223865235	0.05	0.650013344	1.301029996
	"Probe_QC_5percfilter, All Targets"	Med13	-0.084049824	0.663605647	0.94	0.178089927	0.026872146
	"Probe_QC_5percfilter, All Targets"	Krt12	-0.050019089	0.767715151	0.82	0.114799888	0.086186148
	"Probe_QC_5percfilter, All Targets"	Scn7a	0.308003291	0.219015617	0.06	0.659524916	1.22184875
	"Probe_QC_5percfilter, All Targets"	Rpa3	-0.406609798	0.024267628	0	1.614972674	
	"Probe_QC_5percfilter, All Targets"	Kcnk4	-0.10952949	0.578639017	0.62	0.237592286	0.207608311
	"Probe_QC_5percfilter, All Targets"	Mrpl15	-0.257585874	0.579276832	0.49	0.237113841	0.30980392
	"Probe_QC_5percfilter, All Targets"	C2cd4a	-0.401243668	0.178180123	0.13	0.749140745	0.886056648
	"Probe_QC_5percfilter, All Targets"	Dtx1	0.167357335	0.434449311	0.33	0.362060887	0.48148606
	"Probe_QC_5percfilter, All Targets"	Emc7	0.187690287	0.236522954	0.06	0.626126706	1.22184875
	"Probe_QC_5percfilter, All Targets"	Lrfn2	-0.025017765	0.928047512	0.92	0.032429789	0.036212173
	"Probe_QC_5percfilter, All Targets"	Mul1	0.17258584	0.380606521	0.32	0.419523775	0.494850022
	"Probe_QC_5percfilter, All Targets"	Slc6a15	0.329881858	0.372359352	0.32	0.429037734	0.494850022
	"Probe_QC_5percfilter, All Targets"	Stra6	-0.280375445	0.240475072	0.2	0.618929936	0.698970004
	"Probe_QC_5percfilter, All Targets"	Gatad1	0.135509666	0.507173667	0.41	0.294843303	0.387216143
	"Probe_QC_5percfilter, All Targets"	Blcap	-0.012198206	0.796038357	0.72	0.099066005	0.142667504
	"Probe_QC_5percfilter, All Targets"	Ltb4r2	-0.136007434	0.716388317	0.45	0.144851505	0.346787486
	"Probe_QC_5percfilter, All Targets"	Mpdz	-0.105007007	0.610133077	0.46	0.21457543	0.337242168
	"Probe_QC_5percfilter, All Targets"	Olfr782	0.139515018	0.614702096	0.49	0.211335306	0.30980392
	"Probe_QC_5percfilter, All Targets"	Coch	0.196163855	0.634371708	0.68	0.197656194	0.167491087
	"Probe_QC_5percfilter, All Targets"	Cartpt	0.46370514	0.275718377	0.09	0.559534286	1.045757491
	"Probe_QC_5percfilter, All Targets"	Fras1	-0.220443696	0.291017563	0.26	0.5360808	0.585026652
	"Probe_QC_5percfilter, All Targets"	Ipmk	0.019472101	0.797808822	0.6	0.098101165	0.22184875
	"Probe_QC_5percfilter, All Targets"	Tlnrd1	0.31138736	0.577421726	0.36	0.23850688	0.443697499
	"Probe_QC_5percfilter, All Targets"	Pwwp2b	0.019639846	0.973853232	0.92	0.01150649	0.036212173
	"Probe_QC_5percfilter, All Targets"	Sema4g	0.116334114	0.807238145	0.69	0.092998324	0.161150909
	"Probe_QC_5percfilter, All Targets"	Ahcy	-0.119522563	0.538322483	0.49	0.268957481	0.30980392
	"Probe_QC_5percfilter, All Targets"	Nup188	-0.248530864	0.34000906	0.18	0.468509511	0.744727495
	"Probe_QC_5percfilter, All Targets"	Serpinb6c	0.474232935	0.168479004	0.09	0.773454213	1.045757491
	"Probe_QC_5percfilter, All Targets"	Prob1	0.141729843	0.099501792	0.11	1.002169099	0.958607315
	"Probe_QC_5percfilter, All Targets"	AA792892	0.23853673	0.232690439	0.23	0.633221461	0.638272164
	"Probe_QC_5percfilter, All Targets"	Ppp1ca	-0.289863102	0.023520988	0	1.628544432	
	"Probe_QC_5percfilter, All Targets"	Sele	0.271666699	0.693060628	0.76	0.159228772	0.119186408
	"Probe_QC_5percfilter, All Targets"	Pola2	0.378412286	0.364240163	0.46	0.438612168	0.337242168
	"Probe_QC_5percfilter, All Targets"	Gm46840	-0.099202729	0.706162822	0.6	0.151095151	0.22184875
	"Probe_QC_5percfilter, All Targets"	Gm266	-0.00865339	0.848571279	0.55	0.071311671	0.259637311
	"Probe_QC_5percfilter, All Targets"	Poldip3	-0.289622849	0.158541006	0.22	0.799858391	0.657577319
	"Probe_QC_5percfilter, All Targets"	Samd3	0.54857536	0.015348256	0	1.813940968	
	"Probe_QC_5percfilter, All Targets"	Rad9a	0.144598006	0.449064622	0.36	0.347691158	0.443697499
	"Probe_QC_5percfilter, All Targets"	Dpf2	0.062943672	0.751470005	0.72	0.12408835	0.142667504
	"Probe_QC_5percfilter, All Targets"	Stil	0.024890748	0.920476209	0.86	0.035987432	0.065501549
	"Probe_QC_5percfilter, All Targets"	Dguok	-0.336289565	0.150248621	0.18	0.823189504	0.744727495
	"Probe_QC_5percfilter, All Targets"	Ccdc96	0.075004541	0.528405018	0.38	0.277033067	0.420216403
	"Probe_QC_5percfilter, All Targets"	H2-D1	0.588456443	0.096215624	0	1.0167544	
	"Probe_QC_5percfilter, All Targets"	Olfr250	-0.554795882	0.013016623	0	1.885501659	
	"Probe_QC_5percfilter, All Targets"	Nxph1	0.10681594	0.602991371	0.72	0.219688903	0.142667504
	"Probe_QC_5percfilter, All Targets"	Kmt5a	-0.336780646	0.032871791	0	1.483176635	
	"Probe_QC_5percfilter, All Targets"	Det1	-0.112512231	0.223487717	0.23	0.650746341	0.638272164
	"Probe_QC_5percfilter, All Targets"	Cpm	0.000601083	0.976885596	0.94	0.010156294	0.026872146
	"Probe_QC_5percfilter, All Targets"	E430018J23Rik	-0.120203445	0.355952007	0.26	0.448608554	0.585026652
	"Probe_QC_5percfilter, All Targets"	Cldn18	-0.237328066	0.229439276	0.21	0.639332237	0.677780705
	"Probe_QC_5percfilter, All Targets"	Stk32c	-0.395693372	0.207457735	0.1	0.683070368	1
	"Probe_QC_5percfilter, All Targets"	Fam163b	-0.085235082	0.692577795	0.73	0.159531437	0.13667714
	"Probe_QC_5percfilter, All Targets"	Ccdc126	0.435592695	0.266022088	0.17	0.575082303	0.769551079
	"Probe_QC_5percfilter, All Targets"	Ptrh1	-0.126757422	0.510226209	0.54	0.292237237	0.26760624
	"Probe_QC_5percfilter, All Targets"	Dynlt1a	0.042508153	0.816639233	0.54	0.087969759	0.26760624
	"Probe_QC_5percfilter, All Targets"	Olfr1031	0.03728784	0.830006393	0.95	0.080918563	0.022276395
	"Probe_QC_5percfilter, All Targets"	Ccnjl	0.050207033	0.882979873	0.73	0.054049196	0.13667714
	"Probe_QC_5percfilter, All Targets"	Trap1	0.572384499	0.074444913	0	1.128164975	
	"Probe_QC_5percfilter, All Targets"	Prkrip1	-0.07742891	0.672076746	0.43	0.172581131	0.366531544
	"Probe_QC_5percfilter, All Targets"	Tnfsf11	0.249052175	0.423457826	0.37	0.373189836	0.431798276
	"Probe_QC_5percfilter, All Targets"	Gsdmc2	-0.278812228	0.272607257	0.16	0.564462588	0.795880017
	"Probe_QC_5percfilter, All Targets"	Angpt2	0.541441816	0.500910711	0.67	0.300239682	0.173925197
	"Probe_QC_5percfilter, All Targets"	Kcnj2	0.349213715	0.343206969	0.26	0.464443902	0.585026652
	"Probe_QC_5percfilter, All Targets"	Rsl1	0.163934752	0.65506981	0.63	0.183712415	0.200659451
	"Probe_QC_5percfilter, All Targets"	Chpf	0.186627814	0.220839737	0.08	0.655922778	1.096910013
	"Probe_QC_5percfilter, All Targets"	Ryr1	0.190660644	0.223664598	0.08	0.650402751	1.096910013
	"Probe_QC_5percfilter, All Targets"	Prss8	0.025428881	0.830370417	0.82	0.080728132	0.086186148
	"Probe_QC_5percfilter, All Targets"	Elapor2	-0.254234558	0.381657476	0.51	0.418326226	0.292429824
	"Probe_QC_5percfilter, All Targets"	Slc2a9	-0.237168545	0.301675354	0.23	0.520460168	0.638272164
	"Probe_QC_5percfilter, All Targets"	Prr15	0.42494081	0.329612499	0.14	0.481996328	0.853871964
	"Probe_QC_5percfilter, All Targets"	Wwox	0.135543025	0.647432047	0.42	0.188805807	0.37675071
	"Probe_QC_5percfilter, All Targets"	Snca	-0.236182992	0.544644908	0.56	0.263886552	0.251811973
	"Probe_QC_5percfilter, All Targets"	Gdpd5	0.130742213	0.818743675	0.54	0.086852042	0.26760624
	"Probe_QC_5percfilter, All Targets"	Nipa2	0.580705696	0.080045751	0	1.096661714	
	"Probe_QC_5percfilter, All Targets"	Dnmbp	-0.062061257	0.572234555	0.55	0.242425921	0.259637311
	"Probe_QC_5percfilter, All Targets"	Erc1	0.169273487	0.391333253	0.24	0.407453247	0.619788758
	"Probe_QC_5percfilter, All Targets"	Cct6b	0.141363193	0.382325213	0.42	0.417567061	0.37675071
	"Probe_QC_5percfilter, All Targets"	Dennd6a	-0.122958458	0.428982215	0.53	0.367560712	0.27572413
	"Probe_QC_5percfilter, All Targets"	Inka2	-0.257659493	0.055552089	0	1.255299606	
	"Probe_QC_5percfilter, All Targets"	Ccm2l	0.198481442	0.506931706	0.58	0.295050545	0.236572006
	"Probe_QC_5percfilter, All Targets"	1110025L11Rik	-0.123680695	0.300229679	0.31	0.522546378	0.508638306
	"Probe_QC_5percfilter, All Targets"	Man1a2	-0.0254742	0.859154796	0.9	0.065928581	0.045757491
	"Probe_QC_5percfilter, All Targets"	Irak3	0.344950995	0.140435639	0	0.852522666	
	"Probe_QC_5percfilter, All Targets"	Pi4kb	0.116726875	0.528357036	0.36	0.277072505	0.443697499
	"Probe_QC_5percfilter, All Targets"	Ush1g	-0.134984656	0.589990359	0.37	0.229155085	0.431798276
	"Probe_QC_5percfilter, All Targets"	Atp5g2	0.032636561	0.813512247	0.7	0.089635905	0.15490196
	"Probe_QC_5percfilter, All Targets"	Gm17434	0.284486886	0.008650163	0	2.062975726	
	"Probe_QC_5percfilter, All Targets"	Gck	0.6864063	0.422041678	0.61	0.374644659	0.214670165
	"Probe_QC_5percfilter, All Targets"	Letm1	0.340990195	0.000381969	0	3.417971702	
	"Probe_QC_5percfilter, All Targets"	Arhgef5	-0.390218153	0.046498494	0	1.332561117	
	"Probe_QC_5percfilter, All Targets"	Sik1	-0.393450678	0.181837531	0.25	0.740316473	0.602059991
	"Probe_QC_5percfilter, All Targets"	Med16	0.27299631	0.31047992	0.38	0.507966483	0.420216403
	"Probe_QC_5percfilter, All Targets"	Helz2	0.221864194	0.582219017	0.6	0.234913613	0.22184875
	"Probe_QC_5percfilter, All Targets"	Cd164	-0.024164044	0.807921416	0.87	0.09263088	0.060480747
	"Probe_QC_5percfilter, All Targets"	Chil6	0.438308831	0.095784272	0.13	1.018705797	0.886056648
	"Probe_QC_5percfilter, All Targets"	Piwil2	0.235069298	0.255150072	0.19	0.593204304	0.721246399
	"Probe_QC_5percfilter, All Targets"	Entpd7	-0.331682119	0.008502729	0	2.070441671	
	"Probe_QC_5percfilter, All Targets"	Ap5m1	-0.2225914	0.452027694	0.36	0.344834957	0.443697499
	"Probe_QC_5percfilter, All Targets"	Olfr971	0.138824729	0.58261926	0.57	0.234615163	0.244125144
	"Probe_QC_5percfilter, All Targets"	Speg	-0.100185427	0.530801903	0.5	0.275067529	0.301029996
	"Probe_QC_5percfilter, All Targets"	Prdm13	-0.36271273	0.322910535	0.22	0.490917786	0.657577319
	"Probe_QC_5percfilter, All Targets"	Sel1l	0.207279118	0.104269998	0	0.981840634	
	"Probe_QC_5percfilter, All Targets"	H2-T10	-0.070629867	0.802611302	0.87	0.095494729	0.060480747
	"Probe_QC_5percfilter, All Targets"	Arc	-2.011252505	0.066701262	0	1.175865951	
	"Probe_QC_5percfilter, All Targets"	Morc2b	0.038530279	0.68898255	0.69	0.161791778	0.161150909
	"Probe_QC_5percfilter, All Targets"	Spsb1	0.151553389	0.262010992	0.05	0.581680488	1.301029996
	"Probe_QC_5percfilter, All Targets"	Dnm2	0.378401547	0.105252573	0.11	0.977767279	0.958607315
	"Probe_QC_5percfilter, All Targets"	Ctss	0.085557574	0.504498807	0.53	0.297139856	0.27572413
	"Probe_QC_5percfilter, All Targets"	Slc4a10	-0.176293688	0.47560333	0.3	0.322755113	0.522878745
	"Probe_QC_5percfilter, All Targets"	Nsl1	-0.091141052	0.697347957	0.75	0.156550467	0.124938737
	"Probe_QC_5percfilter, All Targets"	Vps35l	-0.247830064	0.320762361	0.32	0.493816598	0.494850022
	"Probe_QC_5percfilter, All Targets"	Mug2	0.345752247	0.285513746	0.05	0.544372978	1.301029996
	"Probe_QC_5percfilter, All Targets"	Chst1	0.047747043	0.757770561	0.65	0.120462271	0.187086643
	"Probe_QC_5percfilter, All Targets"	Tubgcp2	-0.100073004	0.639836365	0.46	0.19393108	0.337242168
	"Probe_QC_5percfilter, All Targets"	Fh1	0.004296912	0.928884759	0.93	0.032038163	0.031517051
	"Probe_QC_5percfilter, All Targets"	Pax2	0.200246209	0.56637828	0.46	0.24689341	0.337242168
	"Probe_QC_5percfilter, All Targets"	AU040320	0.033315552	0.990887428	0.91	0.003975682	0.040958608
	"Probe_QC_5percfilter, All Targets"	Thy1	0.339228365	0.091537566	0.13	1.038400639	0.886056648
	"Probe_QC_5percfilter, All Targets"	Thrap3	-0.152066153	0.319039245	0.27	0.496155892	0.568636236
	"Probe_QC_5percfilter, All Targets"	Ntm	0.381341303	0.187544197	0	0.726896369	
	"Probe_QC_5percfilter, All Targets"	Ncaph2	0.20976926	0.238368228	0.11	0.622751632	0.958607315
	"Probe_QC_5percfilter, All Targets"	Gucy2e	-0.039717818	0.772979801	0.68	0.111831855	0.167491087
	"Probe_QC_5percfilter, All Targets"	Hlf	0.427261283	0.321926849	0.38	0.492242801	0.420216403
	"Probe_QC_5percfilter, All Targets"	Cln5	0.248060162	0.558827837	0.48	0.252721969	0.318758763
	"Probe_QC_5percfilter, All Targets"	Olfr151	0.172758822	0.171995169	0	0.764483752	
	"Probe_QC_5percfilter, All Targets"	Kif3a	-0.12095533	0.435612806	0.38	0.360899362	0.420216403
	"Probe_QC_5percfilter, All Targets"	Chrnb2	0.226972262	0.571179733	0.49	0.243227211	0.30980392
	"Probe_QC_5percfilter, All Targets"	Thada	-0.147807871	0.211993911	0.11	0.673676612	0.958607315
	"Probe_QC_5percfilter, All Targets"	1700001K19Rik	-0.036535362	0.802452914	0.81	0.095580441	0.091514981
	"Probe_QC_5percfilter, All Targets"	Scd1	0.145462159	0.397106656	0.31	0.401092834	0.508638306
	"Probe_QC_5percfilter, All Targets"	Dennd6b	0.325882922	0.252530808	0.09	0.597685632	1.045757491
	"Probe_QC_5percfilter, All Targets"	Dpy30	0.047160234	0.885325015	0.91	0.052897265	0.040958608
	"Probe_QC_5percfilter, All Targets"	Borcs6	0.256177316	0.219980991	0.1	0.657614846	1
	"Probe_QC_5percfilter, All Targets"	Rfc5	0.035544636	0.926220201	0.84	0.033285751	0.075720714
	"Probe_QC_5percfilter, All Targets"	Rdm1	0.254462988	0.117791429	0	0.928886311	
	"Probe_QC_5percfilter, All Targets"	Tmem252	-0.659626551	0.006112048	0	2.213813237	
	"Probe_QC_5percfilter, All Targets"	Pitx1	-0.155032006	0.564811704	0.58	0.248096312	0.236572006
	"Probe_QC_5percfilter, All Targets"	Sdhaf2	-0.17102671	0.497842831	0.48	0.302907742	0.318758763
	"Probe_QC_5percfilter, All Targets"	Mapre1	-0.254864355	0.149815107	0.08	0.82444439	1.096910013
	"Probe_QC_5percfilter, All Targets"	Blmh	-0.192447427	0.258389609	0.1	0.587724956	1
	"Probe_QC_5percfilter, All Targets"	Taf6l	-0.050434096	0.762476481	0.8	0.117773548	0.096910013
	"Probe_QC_5percfilter, All Targets"	D130043K22Rik	0.223080864	0.240289788	0.19	0.619264686	0.721246399
	"Probe_QC_5percfilter, All Targets"	Frg2f4	-0.122958458	0.61500038	0.47	0.211124616	0.327902142
	"Probe_QC_5percfilter, All Targets"	Cep83	0.310263892	0.506024327	0.51	0.295828604	0.292429824
	"Probe_QC_5percfilter, All Targets"	Cog7	0.166160866	0.620006257	0.41	0.207603927	0.387216143
	"Probe_QC_5percfilter, All Targets"	Dhx34	0.256526301	0.274518106	0.19	0.561429007	0.721246399
	"Probe_QC_5percfilter, All Targets"	Vapb	0.021720761	0.854315645	0.82	0.06838164	0.086186148
	"Probe_QC_5percfilter, All Targets"	Adam6a	0.265495367	0.923666058	0.93	0.034485015	0.031517051
	"Probe_QC_5percfilter, All Targets"	Robo2	0.006306533	0.994213929	0.84	0.002520157	0.075720714
	"Probe_QC_5percfilter, All Targets"	Olfr24	0.104318333	0.704487185	0.64	0.152126903	0.193820026
	"Probe_QC_5percfilter, All Targets"	Jade1	0.041201517	0.772462141	0.29	0.112122796	0.537602002
	"Probe_QC_5percfilter, All Targets"	Cdkl3	0.403159503	0.084902191	0	1.071081101	
	"Probe_QC_5percfilter, All Targets"	Colca2	-0.37126863	0.262806959	0.16	0.58036314	0.795880017
	"Probe_QC_5percfilter, All Targets"	Olfr103	-0.410726702	0.087812642	0	1.056442958	
	"Probe_QC_5percfilter, All Targets"	Ppp1r12a	-0.248946735	0.004831875	0	2.315884346	
	"Probe_QC_5percfilter, All Targets"	Slc22a21	0.049419331	0.796314924	0.8	0.098915145	0.096910013
	"Probe_QC_5percfilter, All Targets"	Rasa1	0.086040382	0.537370407	0.51	0.269726254	0.292429824
	"Probe_QC_5percfilter, All Targets"	Zfp2	0.256969171	0.084078674	0	1.075314147	
	"Probe_QC_5percfilter, All Targets"	Mob1a	-0.155485826	0.418191157	0.61	0.378625154	0.214670165
	"Probe_QC_5percfilter, All Targets"	Zar1l	-0.153199012	0.513860139	0.42	0.28915507	0.37675071
	"Probe_QC_5percfilter, All Targets"	Prdm16	0.209866225	0.282302731	0.17	0.54928492	0.769551079
	"Probe_QC_5percfilter, All Targets"	Rngtt	0.01918336	0.870833057	0.76	0.060065093	0.119186408
	"Probe_QC_5percfilter, All Targets"	Mrpl50	0.093129242	0.544025106	0.43	0.264381057	0.366531544
	"Probe_QC_5percfilter, All Targets"	Mta2	0.282559894	0.230720155	0.19	0.636914466	0.721246399
	"Probe_QC_5percfilter, All Targets"	Edaradd	0.232949571	0.419011059	0.55	0.377774515	0.259637311
	"Probe_QC_5percfilter, All Targets"	Zadh2	0.046924456	0.849143574	0.97	0.071018872	0.013228266
	"Probe_QC_5percfilter, All Targets"	Esp36	-0.285306368	0.220946926	0.05	0.655712036	1.301029996
	"Probe_QC_5percfilter, All Targets"	Laptm5	0.166426121	0.41478187	0.47	0.382180235	0.327902142
	"Probe_QC_5percfilter, All Targets"	Sync	0.267812456	0.427063396	0.38	0.369507651	0.420216403
	"Probe_QC_5percfilter, All Targets"	Rfx2	0.33018279	0.121841548	0	0.914204592	
