VolcanoPlot	Counts	Log2					
#Analysis Name	M-1002 Loma Linda analysis						
#Dataset Name	FCortex GCvsFLT SAL						
Statistical test summary							
Group by	Segment						
#Filtered Dataset	false						
Target tag	Target group membership/s	Target name	Log2	Pvalue	Adjusted pvalue	-log10 pvalue	-log10 adjusted pvalue
	"Probe_QC_5percfilter, All Targets"	Slc16a3	0.936540855	0.048322532	0	1.31585032	
	"Probe_QC_5percfilter, All Targets"	Mdm2	0.074438473	0.386932272	0.2	0.412365047	0.698970004
	"Probe_QC_5percfilter, All Targets"	Oxa1l	0.112019923	0.79493624	0.6	0.099667704	0.22184875
	"Probe_QC_5percfilter, All Targets"	Malsu1	-0.340297187	0.178075178	0.09	0.749396612	1.045757491
	"Probe_QC_5percfilter, All Targets"	Naca	0.127618903	0.372957291	0.47	0.428340899	0.327902142
	"Probe_QC_5percfilter, All Targets"	Dclk2	0.156810582	0.152642334	0.12	0.816325002	0.920818754
	"Probe_QC_5percfilter, All Targets"	Npc1l1	-0.063121649	0.933261107	0.88	0.029996833	0.055517328
	"Probe_QC_5percfilter, All Targets"	Vamp1	0.760748681	0.082849525	0	1.081709977	
	"Probe_QC_5percfilter, All Targets"	Acr	0.194649563	0.35909154	0.35	0.444794827	0.455931956
	"Probe_QC_5percfilter, All Targets"	Baalc	0.117127634	0.809572017	0.89	0.091744512	0.050609993
	"Probe_QC_5percfilter, All Targets"	Tmem201	0.230196464	0.485430476	0.58	0.313872962	0.236572006
	"Probe_QC_5percfilter, All Targets"	Cenpx	0.204902197	0.497505311	0.45	0.303202279	0.346787486
	"Probe_QC_5percfilter, All Targets"	Keg1	-0.187900279	0.342426577	0.38	0.465432536	0.420216403
	"Probe_QC_5percfilter, All Targets"	Paics	-0.018304276	0.876923492	0.85	0.057038295	0.070581074
	"Probe_QC_5percfilter, All Targets"	Atg2a	0.270504841	0.203784961	0.12	0.69082787	0.920818754
	"Probe_QC_5percfilter, All Targets"	Tomm20	0.363038314	0.019517875	0	1.70956747	
	"Probe_QC_5percfilter, All Targets"	Fgl2	0.022355118	0.870442231	0.59	0.060260047	0.229147988
