,log2FC
ADAMTS4,0.4242174676022783
ADAMTS5,-0.13291417803020145
ADAMTS6,-0.5126422605042977
ADAMTS7,0.843494740322297
ADAMTS7P1,-0.06323867318454723
ADAMTS7P3,0.04739652827565796
ADAMTS7P4,-0.005571720872258143
ADAMTS7P5,0.0012382302733464218
ADAMTS8,0.6616550031799736
ADAMTS9,-0.7614968621397078
ADAMTS9-AS1,-0.22970058038901187
ADAMTS9-AS2,-0.2543208783623132
ADAMTSL1,-1.5501359823214422
ADAMTSL2,-1.2210402607258168
ADAMTSL3,0.011180748721854816
ADAMTSL4,-1.0066106178583731
ADAMTSL4-AS1,-0.06233722654682168
ADAMTSL4-AS2,-0.1131336581871458
ADAMTSL5,-0.3689333399653856
ADAP1,-0.25749014587801433
ADAP2,-0.12318614143400297
ADAR,0.1264962780888954
ADARB1,1.3072256292837796
ADARB2,0.40957170761210593
ADARB2-AS1,0.2650507151445252
ADAT1,0.61880290307273
ADAT2,0.1612777216516137
ADAT3,-0.4095140188312498
ADCK1,0.6059065256013296
ADCK2,0.4419392009345975
ADCK5,-0.16850068077365465
ADCY1,2.4172442001229633
ADCY10,0.25376368806125604
ADCY10P1,0.45570229963670916
ADCY2,-0.41599930306855004
ADCY3,0.8156001577533161
ADCY4,0.10910843157479896
ADCY5,0.4723915074270715
ADCY6,-0.5822531321204689
ADCY6-DT,-0.2777995052066129
ADCY7,0.2484634258785503
ADCY8,-0.12795093447185657
ADCY9,0.9553552398618574
ADCYAP1,-4.390199397964933
ADCYAP1R1,2.4838364199200775
ADD1,0.37310481910403226
ADD2,1.2842764570407113
ADD3,-1.5649657871400127
ADD3-AS1,-0.8726463508542581
ADGB,-0.5897480821351944
ADGB-DT,0.0
ADGRA1,0.40026044793280935
ADGRA1-AS1,0.1655174830692654
ADGRA2,0.2565926953175006
ADGRA3,0.3852370203888631
ADGRA3P1,0.1115543694057752
ADGRB1,0.6942395064975302
ADGRB2,0.8167821128283927
ADGRB3,0.9361968609665747
ADGRB3-DT,0.5253012640415227
ADGRD1,-0.3223754534825576
ADGRD1-AS1,0.0
ADGRD1-AS2,0.07025990268057702
ADGRD2,0.9663224560801146
ADGRE1,0.029540268939223017
ADGRE2,-0.378341310477866
ADGRE3,0.0
ADGRE4P,0.0
ADGRE5,-1.1947229546493727
ADGRF1,-0.11437160966688711
ADGRF2P,-0.07982129393891595
ADGRF3,0.09196222096588047
ADGRF4,-0.35764594779937364
ADGRF5,-0.03378958106026309
ADGRF5-AS1,0.0
ADGRF5P1,0.18077458739039354
