,log2FC_spectral
G3V4G9,-1.5849625007211563
A0A8I5KSG1,3.807354922057604
SNAPIN,-1.137503523749935
TSC1,0.06608919045777244
EXOSC9,-0.2895066171949848
STIP1,-0.6920762452064656
RELA,-0.9848931076097917
QTRT2,-2.1699250014423126
CFAP36,-0.5765009219729602
CTCF,-2.0
AKR7A3,-1.2630344058337937
UTP18,-2.321928094887362
LONP2,-0.6883728258026832
ACAT1,-0.9488459120498969
EIF2S3B,-1.20387233336565
H3BRW0,0.0
PABPC1,-0.8231805863837407
FAM169A,0.7705181538772327
LETMD1,4.0
OSBPL8,-0.15200309344504995
CACYBP,-0.8073549220576042
PIAS1,1.0
NDUFA10,0.48469837724772724
RPL31,-1.2512834001414364
TXNDC17,-0.8094780939505741
TPT1L,-0.5693656456701377
GCLC,-1.028569152196771
PPP1CC,-0.6200531651895179
A0A7I2V2H3,-0.748020782675202
NEDD4L,0.47356357588529924
DDX3X,-0.5350036749180607
HNRNPM,-0.7560589963739125
USP10,-0.7198920808072649
RGL2,1.584962500721156
OR4K3,0.8479969065549501
AKR1C4,-0.5849625007211563
POMK,4.459431618637297
ATAT1,-0.39548470185744344
VTA1,-0.5193741590935794
ST7,-1.0
MPI,-0.8800393759590874
STIM1,0.5751147147648091
MAEA,-2.0
PRPS2,-0.84799690655495
RAB11A,-0.3918797782915914
CPE,-0.7491918964994657
ABCB9,2.584962500721156
SEPTIN6,-0.6085020575277885
SRSF3,-0.7997013495141687
KIAA0513,-2.0
ABCF1,-1.0181473467102593
RRM1,-0.8199183835215162
IDH1,-0.6617307411752592
COMMD9,3.0
SYT5,-0.24100809950379493
ENAH,-1.368151111648008
A0A2R8YFL4,-0.7686744538935442
QSOX2,-1.5849625007211563
TKT,-0.8722955026783471
DTX1,-1.5849625007211563
NUDCD1,0.0
SORT1,1.584962500721156
RBBP5,-0.5849625007211563
PLPPR3,1.1375035237499351
ATP12A,-0.7055526415347447
ATF6B,1.584962500721156
PTGR1,-1.1057946640225969
SGTB,-0.6918777046376681
MTR,-2.2954558835261714
H2AC1,-0.8018167385161742
TBCK,-2.584962500721156
ZC3H7B,1.584962500721156
MAN2C1,-1.8687554667217472
KSR1,-0.843274496312547
PPIP5K1,-4.392317422778761
VPS33B,-1.130396637255675
SNX8,2.0
DAGLB,1.584962500721156
TMPRSS13,-1.15200309344505
PPP4R3A,0.6780719051126377
E41L1,1.0
PITPNA,-1.3609976595659548
RPL19,-0.9264075937013676
TMSB4X,1.584962500721156
MRPL15,-0.1783372412585124
OSBPL11,-3.584962500721156
TUBB4A,-0.762948183289835
PDCD10,-2.2428565238961635
LSS,-0.6755650495020628
MMP15,-0.7369655941662062
SNX6,-0.9212228866158831
AP1S2,-0.2508938429615818
PAICS,-0.8889145516972219
ARID1B,5.392317422778761
BCAT2,-0.4739311883324124
GPT2,-1.6780719051126376
GUK1,-0.49026809023974083
NUDT5,-0.9727785312649758
A0A8Q3WK79,-2.0
RPL3,-0.8772718289304634
VCPIP1,-0.3048545815284209
SNRPE,-0.6495027529158669
RHOG,-2.115477217419936
DNMT3B,4.247927513443585
PPME1,-0.5493385909904348
TOP1,-0.6903155008673849
BRD1,3.0
PPIAL4G,-0.9569312781081141
ABCAD,-4.754887502163468
MCOLN1,1.584962500721156
MAT1A,-0.36257007938470825
ARMC1,-0.29218075149331035
GMPR2,-1.0560340349143278
STAM2,-0.1154772174199359
EIF2B3,-0.04182017569462706
RPF2,0.7004397181410922
SEC13,-0.797507136101257
RYR1,-5.247927513443585
SH3GLB2,-0.9204117352621373
NUDT11,-0.09019780897157814
ATP5F1E,-1.3785116232537298
ATP1A1,-0.9144485558847867
SLIT2,-0.9523819797672601
TPT1,-0.6696596652964376
NCAM1,-0.7073907040089927
SEMA3A,-1.7369655941662063
B3GAT3,-0.43351015935032255
H0YGN5,2.0
RUFY1,-0.5305147166987798
MYL9,1.0
DBR1,1.1699250014423124
LMF2,0.7589919004962051
MTMR14,-2.0
STX8,-0.38702312310924736
CHORDC1,-1.3899465183160133
BACC1,-0.09621531525930317
YJ012,1.0
A0A0D9SFD7,1.0
SYN3,-0.8073549220576042
MTMR12,-1.5849625007211563
WDR87,-2.321928094887362
ANKRD50,0.0
ELOF1,-5.78135971352466
TFRC,-0.5115504141013213
FIS1,1.7369655941662063
NOC3L,-0.5849625007211563
ATE1,-1.2105669859396584
SHAN3,2.807354922057604
SCRIB,-0.6063361515137231
BTF3L4,-0.6003925412907622
ATP5F1A,-0.5994859558980292
DIP2B,-0.8413022539809418
H0YBK5,1.584962500721156
NAPB,-0.4041765066470769
PQBP1,1.584962500721156
SLC44A2,-1.7813597135246597
PEDS1,-1.0
FGD4,2.84799690655495
NHEJ1,-1.0995356735509143
LEMD2,-0.7686744538935442
E7ENQ6,0.10691520391651188
V9GYP4,1.0
FUBP1,-0.5351217620983812
CAPN2,-1.0174874267288412
VWA8,-3.4594316186372973
ATX2L,2.321928094887362
TUBA3D,-0.7837977285381333
RAPGEF2,-2.963474123974886
HSPA4,-0.682753911124782
MARCHF1,-1.0
LMAN2,0.10309349296410372
MAPK1,-0.8797057662822882
TFB2M,-1.0
FAM117B,-0.5849625007211563
RTCA,-1.2995602818589078
PTK6,2.0
KRT27,-0.8863432182044327
HMGCL,-0.561878887608115
HNRNPR,-0.8337466476167956
PIPSL,-1.0
SLC39A10,2.169925001442312
RIT1,-3.700439718141092
H2BC9,-0.7956715135602773
ADAMTSL4,-1.5849625007211563
NEO1,-0.14809863898913386
FARSA,-0.14848002688135278
A0A0U1RQS4,2.807354922057604
SAMM50,-0.04182017569462706
DENND11,2.321928094887362
SPARC,0.22677086184702225
DNASE2,-1.8744691179161412
IGSF8,-0.8990710911492191
TWF1,-0.8231222379159209
MYL6B,-0.5240197364958497
YWHAG,-0.8781168949312854
HSDL1,-0.18220333122074914
G5E950,-1.0
OSCP1,-0.6780719051126377
PFDN2,-1.222392421336448
SPIRE1,-2.321928094887362
ST13P5,-1.2247869364768307
DHX30,-0.019496175625797148
THOP1,-0.19555080911780695
PRR12,2.0
FBN2,-1.1936811246949206
