,log2FC_spectral
DBN1,-0.5474877953024933
PPM1B,-0.12075215946061027
KIDINS220,-0.6586032629734211
CBX8,0.32192809488736235
RPL14,-0.934323825731631
C9J4J9,1.0
RPS5,-1.0182237586189073
EIF4A1,-0.6540041451508076
THUMPD3,0.6780719051126377
TUBA1C,-0.7716305302514078
RRAGB,-0.07038932789139803
TCF20,3.700439718141092
SMARCE1,-0.6926202136817928
NUTF2,-0.502827965156659
A0A804HLB9,-2.0
A0A6Q8PEX8,-1.4739311883324124
KBTBD7,1.584962500721156
TRBV11,1.0
ARHGAP30,-1.2801079191927354
A0A6Q8PEZ4,-1.4739311883324124
VPS18,-0.6438561897747247
LAP3,-0.7024560637395968
RPL30,-0.7057146601817663
VPS13C,-0.36257007938470825
RIMOC1,0.0
PMPCB,-0.48077365044918485
PCDHGB6,0.0
A0A3B3ISG8,0.2630344058337938
HOMER3,-2.502500340529183
CNOT1,-0.43857301373963287
OGA,-0.7643389775080405
ZC3H11A,-1.6780719051126376
RAB8B,-0.6776684104824341
ASAP1,-2.0
NOL3,-2.584962500721156
TCEAL5,-0.16992500144231243
NT5C,-0.3519853287435422
TUBB1,-0.7722695803917049
FBXO44,3.0
GSTT1,-3.9068905956085187
TARS1,-1.0252372914990229
PBLD,-1.0
CCT6A,-0.9852029980719195
RPSA2,-0.8155754288625724
RNF20,0.0
SLC25A17,3.321928094887362
CDKAL1,-1.5849625007211563
RPA2,-0.461904104316818
RSF1,-0.8413022539809418
MRPL28,0.13124453327825272
PPP4R1,-0.6141088463806726
CDC42EP4,3.584962500721156
ZNG1C,-4.700439718141092
FAF1,2.0
LAMC1,-0.7004397181410921
PDPK2P,-1.253756592245783
WDR75,0.0
DLAT,-0.49253506043638834
FKBP4,-0.9490918291534992
EIF4A3,-0.6141601412924447
MRPS11,0.2630344058337938
ARPC5,-0.710493382805015
H4C1,-0.644313126633752
HNRNPLL,-0.6166713604484944
NF1,5.169925001442312
V9GYP5,1.0
KIF1A,-0.762486715402029
Q59FN2,-0.7224660244710911
UBA2,-0.713052974221878
STAT6,-1.9259994185562233
LPCAT1,0.01630181232910064
ABHD14A,-3.0
GYS1,-0.6957429314396932
ZNF574,0.7369655941662062
FKBP8,-0.9803711932510674
DNAJB1,-0.6291623046316912
PEX5,-0.13124453327825267
TGS1,-1.0
UAP1,-1.1699250014423124
VLDLR,3.9068905956085187
CUTC,-2.807354922057604
CMBL,-1.4594316186372973
FA83H,2.321928094887362
PAK3,-0.9421190839195
CHID1,-1.6849913190524282
IVD,-0.2652386767605238
SNRNP200,-0.3539259849754566
ZNF521,-2.0
ABHD14B,-0.8135868757691186
SUCLG1,-0.9818526532897405
CELF1,-1.096573259695053
UROS,0.5235619560570128
LARP1B,0.23446525363702297
ERLEC1,-0.44083350015618133
A0A6Q8PGU0,-1.4739311883324124
UPF1,-0.9143439154552916
CD2BP2,-0.7004397181410921
PGRMC2,-0.048363021561399
MAN2A2,-0.7744402995848689
SLC12A9,-1.3219280948873622
