,log2FC
ADAMTSL4-AS1,0.007564182509039889
ADAMTSL4-AS2,-0.034016050243786386
ADAMTSL5,-0.31575924179266734
ADAP1,-0.2194696303089141
ADAP2,-0.2743136387992431
ADAR,0.10225023528212951
ADARB1,0.9804871945478251
ADARB2,0.04868031875580803
ADARB2-AS1,0.014702790547838851
ADAT1,0.5899521776832781
ADAT2,0.180271981861428
ADAT3,-0.07428996351986994
ADCK1,0.606651698439614
ADCK2,0.4092365847387134
ADCK5,0.04491963324996018
ADCY1,1.9878425856777704
ADCY10,0.1710405111192376
ADCY10P1,0.4805480085514188
ADCY2,-0.5541294282439413
ADCY3,0.7717437192650829
ADCY4,0.09683824723639695
ADCY5,0.15342701734946917
ADCY6,-0.5862898675781985
ADCY6-DT,-0.33924252272391786
ADCY7,0.13575267389953138
ADCY8,-0.19280220579947294
ADCY9,0.8662464008148052
ADCYAP1,-3.826103516160931
ADCYAP1R1,2.2069892112008214
ADD1,0.4401727168659333
ADD2,1.150343548560821
ADD3,-1.2084676009690982
ADD3-AS1,-0.8090752054903437
ADGB,-0.5598680600203311
ADGB-DT,0.0
ADGRA1,0.1537368945976363
ADGRA1-AS1,0.07462929597953172
ADGRA2,0.1588062893321962
ADGRA3,0.40887463909758726
ADGRA3P1,0.10016615868667564
ADGRB1,0.4224986783893405
ADGRB2,0.5787025445887286
ADGRB3,0.8696767663362648
ADGRB3-DT,0.5172438498301757
ADGRD1,-0.48836359494587545
ADGRD1-AS1,0.0
ADGRD1-AS2,0.012555401958019883
ADGRD2,0.9155594996172366
ADGRE1,0.021335773471258868
ADGRE2,-0.3998833978811571
ADGRE3,0.014468623464321657
ADGRE4P,0.021230255704802088
ADGRE5,-1.025931234535993
ADGRF1,-0.08545764668782985
ADGRF2P,-0.05224774116755563
ADGRF3,0.08289428793207254
ADGRF4,-0.31807289559130836
ADGRF5,-0.023419830874662474
ADGRF5-AS1,0.0
ADGRF5P1,0.19976057042893042
ADGRF5P2,0.0
ADGRG1,0.0243389784209036
ADGRG2,-0.4221886014077508
ADGRG3,0.03281024907964092
ADGRG4,0.0640724646441615
ADGRG5,-0.1198338274026075
ADGRG6,-0.8474793266415747
ADGRG7,-3.5665282462885357
ADGRL1,0.006915193047406731
ADGRL1-AS1,0.13198335018988439
ADGRL2,-0.17248006170212982
ADGRL3,-1.8599702330213512
ADGRL3-AS1,-0.039956667268671316
ADGRL4,0.061796996215587846
ADGRV1,-0.14939728379611417
ADH1A,-0.02180496820621175
