,log2FC
ACTN4P1,-0.012388305876678277
ACTN4P2,0.0901656272389162
ACTP1,0.0008344814888917636
ACTR10,-0.1622009496362482
ACTR1A,0.4287511347947701
ACTR1AP1,0.0
ACTR1B,-0.8789052410597153
ACTR2,0.21126992606835415
ACTR2P1,0.012671411535274884
ACTR2P2,0.09492920744320196
ACTR3,0.07023161511091569
ACTR3-AS1,0.13414030532114196
ACTR3B,1.8995737402535786
ACTR3BP1,0.0
ACTR3BP2,0.0
ACTR3BP3,0.0
ACTR3BP4,0.07265887287529599
ACTR3BP5,0.0
ACTR3BP7,0.0
ACTR3C,0.11181155989397307
ACTR3P2,0.0
ACTR3P3,0.0
ACTR5,0.9935494576529758
ACTR6,0.24118597763792504
ACTR6P1,0.0
ACTR8,0.03588100886862389
ACTRT1,0.0
ACTRT1P1,0.0
ACTRT2,-0.011440729337287955
ACTRT3,-0.9269847832729836
ACVR1,-0.21258435359344308
ACVR1B,0.2190015263814198
ACVR1C,-0.8377323464560522
ACVR2A,0.8266805330594318
ACVR2B,0.2788317672812539
ACVR2B-AS1,0.47994906553261285
ACVRL1,0.009375291825283447
ACY1,-0.10829085480105544
ACY3,-0.012193687293366057
ACYP1,-0.390266124684608
ACYP2,-0.18528569894244828
ADA,0.529429079524081
ADA2,-1.0110243105085641
ADAD1,0.0
ADAD1P1,0.09371549853934083
ADAD1P2,0.01217093803286478
ADAD2,-0.010944937841684932
ADAD2-AS1,-0.0009641741959910861
ADAM10,-0.03266781303157451
ADAM11,0.06376311031683679
ADAM12,-0.22584210403330296
ADAM15,-0.138641506511747
ADAM17,-0.1606594101799752
ADAM18,0.01149974999488233
ADAM19,-0.6620337520961441
ADAM1A,0.0
ADAM1B,0.09440399272853772
ADAM2,0.0
ADAM20,0.00016533199053303527
ADAM20P1,0.2308109245028348
ADAM20P2,0.0008066473805493496
ADAM20P3,0.0
ADAM21,-0.10127244284241105
ADAM21P1,0.009253003893404076
ADAM22,0.6995692504975968
ADAM23,0.21687231130812412
ADAM24P,0.013141263832756378
ADAM28,-2.5450623419554526
ADAM29,-0.5704280464720237
ADAM30,0.0
ADAM32,0.012121574032543936
ADAM33,-0.84859924101046
ADAM3A,-0.012193687293366057
ADAM3B,-0.051196294257453576
ADAM5,-0.012193687293366057
ADAM6,0.0
ADAM7,0.06280539822271322
ADAM7-AS1,-0.07396366702180035
ADAM7-AS2,-0.012516829197103951
ADAM8,-0.5157189049606219
ADAM9,0.049744757612283586
ADAMDEC1,0.038534989231191204
ADAMTS1,-0.4168559378278198
ADAMTS10,0.20849476737382355
ADAMTS12,-0.9301716360724654
ADAMTS13,-0.14698948929275346
ADAMTS14,-0.4385250688480168
ADAMTS15,0.16130335605274926
ADAMTS16,-0.3542417569762296
ADAMTS16-AS1,-0.012470215492790905
ADAMTS16-DT,-0.30985212787850025
ADAMTS17,-0.42020334948065596
ADAMTS18,-0.5700839218897942
ADAMTS19,0.8210808372665371
ADAMTS19-AS1,0.8087491552257898
ADAMTS2,-0.6426360966472631
ADAMTS20,0.5695176757893816
ADAMTS3,0.17077545655905624
ADAMTS4,-0.2490974678454041
ADAMTS5,-0.47036011898762586
ADAMTS6,-0.06014506090604366
ADAMTS7,0.433396418312892
ADAMTS7P1,0.002204545741646774
ADAMTS7P3,0.08969158428378407
ADAMTS7P4,0.07574473968321
ADAMTS7P5,0.07225618573336776
ADAMTS8,0.541410530508935
ADAMTS9,-0.8455218814243479
ADAMTS9-AS1,-0.14139774696638058
ADAMTS9-AS2,0.012071142488689901
ADAMTSL1,-1.2418774270730573
ADAMTSL2,-0.9515032437880282
ADAMTSL3,0.18740905978837774
ADAMTSL4,-0.9806149199572461
ADAMTSL4-AS1,0.07282715300521962
ADAMTSL4-AS2,0.029746163244603566
ADAMTSL5,-0.2715667659802544
ADAP1,-0.16620769111553502
ADAP2,-0.3893264106909158
ADAR,0.082241034195639
ADARB1,0.668254613862739
ADARB2,-0.2648353462517763
ADARB2-AS1,-0.20123819211182903
ADAT1,0.5697368022091394
ADAT2,0.17951878465880133
ADAT3,0.22888128632081228
ADCK1,0.615576656754238
ADCK2,0.3992036691476395
ADCK5,0.21250651288948008
ADCY1,1.579772398437096
ADCY10,0.10253187129880356
ADCY10P1,0.5039898974295091
ADCY2,-0.6645210142392983
ADCY3,0.7185597708526417
ADCY4,0.07502326583992569
ADCY5,-0.1388337129982462
ADCY6,-0.5789196658704001
ADCY6-DT,-0.3955431628568551
ADCY7,0.026880422832670448
ADCY8,-0.25901500680786427
ADCY9,0.7694065865352555
ADCYAP1,-3.318743973431588
ADCYAP1R1,1.90116974213936
ADD1,0.5028164469300265
ADD2,1.0189255729583921
ADD3,-0.8753669182239108
ADD3-AS1,-0.7570417974134158
ADGB,-0.5261982676580587
ADGB-DT,0.0
ADGRA1,-0.07610674871475975
ADGRA1-AS1,0.0013180377461280424
ADGRA2,0.06468913383838526
ADGRA3,0.4297958847550625
ADGRA3P1,0.089303964645472
ADGRB1,0.16507433065766008
ADGRB2,0.3300532010397683
ADGRB3,0.8139364115715293
ADGRB3-DT,0.5027725959367855
ADGRD1,-0.6308422083854652
ADGRD1-AS1,0.0
ADGRD1-AS2,-0.03733937900490116
ADGRD2,0.8203555166151375
ADGRE1,0.012218638857851169
ADGRE2,-0.4013366868865626
ADGRE3,0.026043522235778983
ADGRE4P,0.03821446026864376
ADGRE5,-0.8688594919200472
ADGRF1,-0.0558266051291811
ADGRF2P,-0.03545206432778107
ADGRF3,0.07969529860179836
ADGRF4,-0.27637028191019775
ADGRF5,-0.013050080689061855
ADGRF5-AS1,0.0
ADGRF5P1,0.223918136489658
ADGRF5P2,0.0
ADGRG1,0.04140297862624909
ADGRG2,-0.2800441756093064
ADGRG3,0.02575838708421241
ADGRG4,0.01224565478700275
ADGRG5,-0.18472685378810505
ADGRG6,-0.5852127649778999
ADGRG7,-2.9885604284213434
ADGRL1,-0.168358164942652
ADGRL1-AS1,-0.0827448726824287
ADGRL2,-0.06629587676356641
ADGRL3,-1.5438852820490832
ADGRL3-AS1,-0.03555351444940577
ADGRL4,0.14274992794710023
ADGRV1,0.09898055042004206
ADH1A,-0.02392422413784079
ADH1B,-0.1138885369720947
ADH1C,0.013516313297873518
ADH4,0.0355451510420258
ADH5,0.3608572130161125
ADH5P2,-0.03567507539003119
ADH5P3,0.03739810835869192
ADH5P4,-0.009919995162328943
ADH5P5,-0.0714780107921319
ADH6,0.31641031626845584
ADH7,-0.061506172782555615
ADHFE1,-0.47007883816884277
ADI1,0.30513719414015306
ADI1P1,0.0
ADI1P2,0.0
ADI1P3,0.0
ADIG,-0.012470215492790905
ADIPOQ,0.025710000591239575
ADIPOQ-AS1,-0.013050080689061855
ADIPOR1,-0.3795403454298558
ADIPOR1P1,0.0
ADIPOR1P2,0.0
ADIPOR2,-0.14490871204781763
ADIRF,0.0
ADIRF-AS1,-0.5718376610898779
ADISSP,-0.2774215899591752
ADK,0.471291609175581
ADM,-0.8982106608657094
ADM-DT,-0.27551384278569735
ADM2,0.7194438442236613
ADM5,-0.29119851245455597
ADNP,0.03841026432032635
ADNP-AS1,-0.0523571806169012
ADNP2,0.4013077863830681
ADO,0.07911039632937733
ADORA1,1.7656189110458875
ADORA1-AS1,-0.012193687293366057
ADORA1-AS2,0.06244892715564741
ADORA2A,0.10023216350661768
ADORA2A-AS1,0.059629166820879584
ADORA2B,1.8331979985454085
ADORA2BP1,-0.012193687293366057
ADORA3,0.012902258403022601
ADPGK,-0.04780065703172642
ADPGK-AS1,0.3104825239540663
ADPRH,-0.5001843433965687
ADPRHL1,0.29997060447081925
ADPRM,0.2525652203905673
ADPRS,-0.19196245030915904
ADRA1A,2.738429497546961
